,0,1
1,612.0,2478.0
2,43.0,288.0
3,52.0,603.0
4,41.0,263.0
6,3.0,32.0
7,189.0,452.0
9,6.0,32.0
11,11.0,113.0
12,26.0,165.0
15,14.0,145.0
17,85.0,343.0
21,29.0,107.0
22,29.0,338.0
23,26.0,38.0
25,10.0,35.0
26,3.0,132.0
27,11.0,116.0
30,7.0,86.0
32,386.0,496.0
37,4.0,17.0
39,83.0,503.0
41,118.0,428.0
43,14.0,122.0
44,6.0,72.0
45,144.0,937.0
47,2.0,39.0
49,19.0,240.0
50,4.0,14.0
51,14.0,101.0
52,0.0,7.0
53,1350.0,601.0
54,6.0,139.0
57,6.0,43.0
58,14.0,223.0
59,160.0,727.0
60,15.0,218.0
61,12.0,56.0
62,152.0,597.0
65,15.0,153.0
67,60.0,643.0
68,24.0,234.0
72,23.0,366.0
75,4.0,149.0
76,6.0,57.0
77,5.0,46.0
78,4.0,116.0
79,72.0,311.0
80,67.0,279.0
81,1.0,23.0
82,5.0,30.0
83,27.0,154.0
84,20.0,99.0
85,21.0,85.0
86,4.0,12.0
87,3.0,90.0
88,4.0,27.0
89,14.0,101.0
90,41.0,232.0
91,30.0,64.0
92,4.0,92.0
95,1.0,34.0
96,24.0,159.0
97,52.0,71.0
98,3.0,33.0
99,17.0,32.0
101,1.0,69.0
102,28.0,133.0
105,16.0,146.0
106,4.0,29.0
107,7.0,56.0
109,15.0,79.0
112,16.0,195.0
114,5.0,133.0
115,14.0,290.0
116,26.0,102.0
119,28.0,155.0
120,11.0,127.0
121,2.0,17.0
122,5.0,38.0
126,6.0,43.0
127,10.0,111.0
128,1.0,13.0
131,2.0,20.0
133,6.0,5.0
134,4.0,68.0
136,733.0,2141.0
139,19.0,164.0
140,43.0,207.0
142,0.0,15.0
144,29.0,504.0
145,8.0,122.0
146,19.0,225.0
147,1.0,21.0
148,9.0,105.0
149,9.0,42.0
150,20.0,187.0
151,77.0,108.0
152,4.0,70.0
153,14.0,221.0
154,6.0,126.0
155,79.0,37.0
156,3.0,55.0
158,8.0,103.0
159,3.0,50.0
161,3.0,21.0
163,4.0,58.0
164,33.0,381.0
168,5.0,53.0
169,10.0,51.0
170,40.0,201.0
171,34.0,306.0
172,194.0,297.0
173,36.0,340.0
174,6.0,128.0
175,11.0,51.0
176,23.0,154.0
181,17.0,150.0
182,55.0,900.0
183,56.0,876.0
184,7.0,60.0
186,2.0,21.0
188,5.0,358.0
189,1.0,5.0
