Wiek,count
18,134
19,239
20,269
21,267
22,266
23,253
24,242
25,218
26,254
27,263
28,271
29,266
30,275
31,291
32,286
33,274
34,219
35,243
36,250
37,236
38,232
39,215
40,234
41,218
42,184
43,184
44,170
45,170
46,160
47,135
48,169
49,157
50,150
51,169
52,155
53,164
54,153
55,182
56,205
57,191
58,210
59,233
60,265
61,268
62,244
63,247
64,252
65,244
66,233
67,198
68,189
69,161
70,116
71,112
72,96
73,105
74,97
75,103
76,108
77,90
78,96
79,92
80,78
81,77
82,41
83,62
84,37
85,32
86,30
87,18
88,20
89,15
90,11
91,4
92,8
93,6
94,2
95,1
96,4
99,1
