Wiek,count
18,1136
19,2581
20,2258
21,2326
22,2185
23,2076
24,2125
25,2154
26,2338
27,2419
28,2754
29,3099
30,3314
31,3423
32,3374
33,2945
34,2819
35,2775
36,2458
37,2375
38,2159
39,2211
40,1970
41,1811
42,1593
43,1403
44,1260
45,1178
46,1017
47,965
48,921
49,903
50,827
51,904
52,880
53,848
54,918
55,950
56,1068
57,1158
58,1242
59,1268
60,1234
61,1307
62,1160
63,1247
64,1219
65,1096
66,1070
67,940
68,866
69,680
70,484
71,488
72,376
73,389
74,399
75,419
76,358
77,315
78,357
79,325
80,294
81,284
82,242
83,245
84,211
85,159
86,135
87,118
88,109
89,76
90,72
91,49
92,38
93,19
94,11
95,8
96,10
97,2
98,3
99,2
101,1
103,1
104,1
