Wiek,count
18,594
19,1103
20,1117
21,1073
22,989
23,953
24,715
25,603
26,570
27,491
28,488
29,480
30,522
31,525
32,508
33,492
34,453
35,450
36,529
37,480
38,513
39,514
40,498
41,485
42,445
43,415
44,371
45,381
46,315
47,298
48,282
49,265
50,297
51,305
52,297
53,273
54,265
55,316
56,324
57,345
58,326
59,339
60,368
61,340
62,338
63,325
64,305
65,300
66,309
67,248
68,229
69,188
70,125
71,138
72,102
73,109
74,97
75,117
76,99
77,91
78,72
79,78
80,82
81,67
82,43
83,62
84,51
85,29
86,45
87,36
88,21
89,20
90,14
91,18
92,8
93,8
94,2
95,1
96,1
98,1
