Wiek,count
18,759
19,1564
20,1591
21,1418
22,1215
23,1194
24,927
25,778
26,737
27,689
28,661
29,645
30,661
31,708
32,632
33,628
34,568
35,617
36,623
37,599
38,560
39,642
40,583
41,486
42,513
43,497
44,428
45,389
46,383
47,343
48,321
49,344
50,320
51,332
52,326
53,331
54,354
55,393
56,394
57,397
58,408
59,398
60,461
61,413
62,438
63,430
64,400
65,392
66,366
67,312
68,303
69,241
70,145
71,181
72,123
73,133
74,130
75,134
76,135
77,127
78,134
79,144
80,123
81,108
82,94
83,119
84,113
85,88
86,82
87,70
88,53
89,50
90,44
91,43
92,18
93,23
94,15
95,6
96,3
97,1
98,4
99,5
100,3
101,3
