Wiek,count
18,810
19,1541
20,1491
21,1379
22,1209
23,1195
24,983
25,894
26,849
27,774
28,790
29,765
30,800
31,815
32,806
33,707
34,668
35,695
36,680
37,693
38,676
39,674
40,643
41,605
42,569
43,535
44,479
45,470
46,460
47,387
48,401
49,393
50,411
51,438
52,406
53,424
54,421
55,480
56,510
57,524
58,541
59,575
60,576
61,589
62,613
63,590
64,597
65,545
66,532
67,465
68,416
69,380
70,246
71,253
72,213
73,231
74,199
75,203
76,197
77,162
78,178
79,169
80,176
81,141
82,115
83,125
84,95
85,68
86,59
87,71
88,46
89,33
90,31
91,22
92,21
93,13
94,7
95,2
96,5
98,3
100,1
101,1
104,1
