Wiek,count
18,1631
19,3498
20,3322
21,3323
22,3154
23,3000
24,2880
25,2799
26,2967
27,3044
28,3321
29,3676
30,3957
31,4102
32,3937
33,3589
34,3348
35,3328
36,3127
37,2919
38,2755
39,2841
40,2572
41,2323
42,2144
43,1905
44,1694
45,1594
46,1360
47,1262
48,1243
49,1229
50,1113
51,1228
52,1188
53,1133
54,1232
55,1281
56,1372
57,1476
58,1557
59,1566
60,1613
61,1638
62,1427
63,1530
64,1465
65,1375
66,1340
67,1172
68,1101
69,818
70,584
71,613
72,464
73,465
74,485
75,517
76,437
77,420
78,434
79,434
80,363
81,345
82,298
83,320
84,302
85,240
86,223
87,179
88,148
89,121
90,109
91,88
92,53
93,38
94,21
95,16
96,12
97,3
98,6
99,7
100,2
101,3
103,1
